Club,Overall,Potential,Age,Squad_Size,Avg_Growth_Margin
FC Nordsjælland,60.96296296296296,71.96296296296296,20.25925925925926,27,11.0
Stabæk Fotball,60.81481481481482,71.70370370370371,22.074074074074073,27,10.888888888888893
Envigado FC,61.285714285714285,71.46428571428571,22.035714285714285,28,10.178571428571423
Derry City,55.77777777777778,65.88888888888889,22.11111111111111,18,10.111111111111107
FC Sochaux-Montbéliard,62.642857142857146,72.64285714285714,21.678571428571427,28,9.999999999999993
Crewe Alexandra,56.785714285714285,66.25,23.357142857142858,28,9.464285714285715
LOSC Lille,69.64,78.96,22.0,25,9.319999999999993
Bohemian FC,55.0,64.24,21.48,25,9.239999999999995
Barnsley,61.82142857142857,70.96428571428571,22.107142857142858,28,9.142857142857139
Bray Wanderers,53.65217391304348,62.608695652173914,22.217391304347824,23,8.956521739130437
